,MolWt,LogP,TPSA,SMILES,FP,FP array
85,338.34200000000004,4.073500000000002,80.05,C=C(C)Nc1nnc(-c2cccc(NC(=O)c3ccccc3F)c2)o1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500774660>,[0 0 0 ... 0 0 0]
86,631.7350000000001,10.496699999999988,45.03,O=c1c2ccccc2n2c3cc(N(c4ccccc4)c4ccc(N(c5ccccc5)c5ccccc5)cc4)ccc3c(=O)c3cccc1c32,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007746d0>,[0 0 0 ... 0 0 0]
87,631.7350000000001,10.496699999999988,45.03,O=c1c2ccc(N(c3ccccc3)c3ccccc3)cc2n2c3cccc(N(c4ccccc4)c4ccccc4)c3c(=O)c3cccc1c32,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500774740>,[0 0 0 ... 0 0 0]
88,290.36600000000004,2.5425000000000004,32.34,CNC(=O)CCN1Cc2ccccc2C#Cc2ccccc21,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007747b0>,[0 0 0 ... 0 0 0]
89,420.47300000000024,0.9055199999999999,103.17999999999999,Cc1cccc(/C=N\Nc2nc3c(c(N4CCOCC4)n2)CN(C(=O)C#CCO)C3)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500774820>,[0 0 0 ... 0 0 0]
90,655.7480000000004,4.830800000000005,129.08,COc1ccc(CN(CC(=O)O)c2cc(CCC(=O)N3CCOCC3)c(N(CC(=O)O)Cc3ccc(OC)cc3)c3ccccc23)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500774890>,[0 0 0 ... 0 0 0]
91,593.6500000000002,5.738800000000006,80.68,CN(CCCN1CCOCC1)c1ccc2c(Oc3ccc(CC(=O)CCc4ccc(C(F)(F)F)nc4)cc3)ncnc2c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500774900>,[0 0 0 ... 0 0 0]
92,406.3870000000001,1.6712199999999997,135.66,CCCCOC(=O)C1OC(Oc2ccc3c(C)cc(=O)oc3c2)=C(O)C(O)[C@@H]1O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e39c80>,[0 0 0 ... 0 0 0]
93,887.954,7.051520000000006,222.73999999999998,CNC(=O)c1cnc2ccc(-c3ccc(C(=O)NCCCC(=O)COc4c(C)cc(/N=N/c5cccc6c5CN(C5CCC(=O)NC5=O)C6=O)cc4OC)nc3)cc2c1Nc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e39c10>,[0 0 0 ... 0 0 0]
94,842.954,6.392640000000006,196.97999999999996,C=C1c2[nH]ncc2C(c2cc(C)c(CCCC(=O)NCCCC(=O)COc3c(C)cc(/N=N/c4cccc5c4CN(C4CCC(=O)NC4=O)C5=O)cc3OC)c(OC)c2)=CN1C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e39ba0>,[0 0 0 ... 0 0 0]
95,384.44300000000004,3.397000000000002,93.08999999999999,Nc1nc(N2CC=C(c3ccc(O)cc3)CC2)nc2c1ccn2-c1ccncc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e39b30>,[0 0 0 ... 0 0 0]
