,SMILES,FP,FP array
97,CC(=O)c1ccc2[nH]c(C(=O)N[C@H]3CCC[C@H]4SC(C)(C)[C@@H](C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)N5CCC(CCC#Cc6cccc7c6CN(C6CCC(=O)NC6=O)C7=O)CC5)C5CCCCC5)N4C3=O)cc2c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e39a50>,[0 1 1 ... 0 0 0]
98,COC(=O)C1Cc2nc(-c3cccc(C)c3C)oc2C=C1COC(F)F,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e399e0>,[0 1 0 ... 0 0 0]
99,CCN1C(=O)/C(=N/c2nc3c(s2)-c2cc4c(cc2C3(C)C)-c2sc(/N=C3\SC(=S)N(CC)C3=O)nc2C4(C)C)SC1=S,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e39970>,[0 0 0 ... 0 0 0]
100,COc1cc(N=C(C#N)C#N)sc1-c1nc2c(s1)-c1cc3c(cc1C2(C)C)-c1sc(-c2sc(N=C(C#N)C#N)cc2OC)nc1C3(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e39900>,[0 0 0 ... 0 0 0]
101,CC1(C)c2cc3c(cc2-c2sc(C=C4C(=O)c5cc6ccccc6cc5C4=O)nc21)C(C)(C)c1nc(C=C2C(=O)c4cc5ccccc5cc4C2=O)sc1-3,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e39890>,[0 0 0 ... 0 0 0]
102,CC1(C)c2cc3c(cc2-c2sc(C=C4C(=O)c5cc6cc(F)c(F)cc6cc5C4=O)nc21)C(C)(C)c1nc(C=C2C(=O)c4cc5cc(F)c(F)cc5cc4C2=O)sc1-3,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e39820>,[0 0 0 ... 0 0 0]
103,CCOc1cccc(-c2nc3ncc(CS(=O)(=O)Cc4ccccn4)nc3n2-c2c(OC)cccc2OC)n1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e397b0>,[0 0 0 ... 0 0 0]
104,CC[C@H](C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc1ccc(C)c(C)c1)c1ccccc1OC)c1cc(C)c(OC)c(OC)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e39740>,[0 1 0 ... 0 0 0]
105,CCC(=O)NCCOCCOCC(=O)CCCOCCOCC(=O)C(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e396d0>,[0 1 0 ... 0 0 0]
106,Nc1nc(NCc2ccn[nH]2)c2ccc(C3=CC=NC3)cc2n1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e39660>,[0 0 0 ... 0 0 0]
107,CCOc1cccc(-c2nc3ncc(CS(=O)(=O)Cc4ccccc4)nc3n2-c2c(OC)cccc2OC)n1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e395f0>,[0 0 0 ... 0 0 0]
108,Nc1c(N=O)cccc1C(=O)c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e39580>,[0 0 0 ... 0 0 0]
109,CCCCCCCC[Si](O)(O)OCN(C(=O)NCO[Si](C)(O)O)C1(CO[Si](O)(O)CCCCCCCC)C(=O)NC(=O)N1CO[Si](O)(O)CCCCCCCC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e39f20>,[0 0 0 ... 0 0 0]
110,Cc1cc2nncc(N3CC4(CC(NS(N)(=O)=O)C4)C3)c2cn1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e393c0>,[0 0 0 ... 0 0 0]
